2025-07-16 23:07:26,971 - INFO - 出力ディレクトリ構造を作成: /mnt/nfs1/home/yamamoto-hiroto/research/vertebrae_saka/Sakaguchi_file/YOLO_datasets/vertebrae_fracture
2025-07-16 23:07:26,971 - INFO - NIfTI → YOLO形式変換開始
2025-07-16 23:07:26,972 - INFO - trainデータセットを処理中...
2025-07-16 23:08:14,935 - INFO - 処理済み: 19200, 成功: 19200
2025-07-16 23:08:15,146 - INFO - 処理済み: 19300, 成功: 19300
2025-07-16 23:08:15,334 - INFO - 処理済み: 19400, 成功: 19400
2025-07-16 23:08:15,531 - INFO - 処理済み: 19500, 成功: 19500
2025-07-16 23:08:15,744 - INFO - 処理済み: 19600, 成功: 19600
2025-07-16 23:08:15,935 - INFO - 処理済み: 19700, 成功: 19700
2025-07-16 23:08:16,189 - INFO - 処理済み: 19800, 成功: 19800
2025-07-16 23:08:16,499 - INFO - 処理済み: 19900, 成功: 19900
2025-07-16 23:08:16,712 - INFO - 処理済み: 20000, 成功: 20000
2025-07-16 23:08:16,913 - INFO - 処理済み: 20100, 成功: 20100
2025-07-16 23:08:17,124 - INFO - 処理済み: 20200, 成功: 20200
2025-07-16 23:08:17,315 - INFO - 処理済み: 20300, 成功: 20300
2025-07-16 23:08:17,522 - INFO - 処理済み: 20400, 成功: 20400
2025-07-16 23:08:17,710 - INFO - 処理済み: 20500, 成功: 20500
2025-07-16 23:08:18,055 - INFO - 処理済み: 20600, 成功: 20600
2025-07-16 23:08:18,273 - INFO - 処理済み: 20700, 成功: 20700
2025-07-16 23:08:18,484 - INFO - 処理済み: 20800, 成功: 20800
2025-07-16 23:08:18,683 - INFO - 処理済み: 20900, 成功: 20900
2025-07-16 23:08:18,900 - INFO - 処理済み: 21000, 成功: 21000
2025-07-16 23:08:19,123 - INFO - 処理済み: 21100, 成功: 21100
2025-07-16 23:08:19,356 - INFO - 処理済み: 21200, 成功: 21200
2025-07-16 23:08:19,691 - INFO - 処理済み: 21300, 成功: 21300
2025-07-16 23:08:19,903 - INFO - 処理済み: 21400, 成功: 21400
2025-07-16 23:08:20,152 - INFO - 処理済み: 21500, 成功: 21500
2025-07-16 23:08:20,360 - INFO - 処理済み: 21600, 成功: 21600
2025-07-16 23:08:20,575 - INFO - 処理済み: 21700, 成功: 21700
2025-07-16 23:08:20,918 - INFO - 処理済み: 21800, 成功: 21800
2025-07-16 23:08:21,182 - INFO - 処理済み: 21900, 成功: 21900
2025-07-16 23:08:21,397 - INFO - 処理済み: 22000, 成功: 22000
2025-07-16 23:08:21,612 - INFO - 処理済み: 22100, 成功: 22100
2025-07-16 23:08:21,829 - INFO - 処理済み: 22200, 成功: 22200
2025-07-16 23:08:22,048 - INFO - 処理済み: 22300, 成功: 22300
2025-07-16 23:08:22,258 - INFO - 処理済み: 22400, 成功: 22400
2025-07-16 23:08:22,614 - INFO - 処理済み: 22500, 成功: 22500
2025-07-16 23:08:22,944 - INFO - 処理済み: 22600, 成功: 22600
2025-07-16 23:08:23,158 - INFO - 処理済み: 22700, 成功: 22700
2025-07-16 23:08:23,394 - INFO - 処理済み: 22800, 成功: 22800
2025-07-16 23:08:23,608 - INFO - 処理済み: 22900, 成功: 22900
2025-07-16 23:08:23,955 - INFO - 処理済み: 23000, 成功: 23000
2025-07-16 23:08:24,171 - INFO - 処理済み: 23100, 成功: 23100
2025-07-16 23:08:24,392 - INFO - 処理済み: 23200, 成功: 23200
2025-07-16 23:08:24,616 - INFO - 処理済み: 23300, 成功: 23300
2025-07-16 23:08:24,851 - INFO - 処理済み: 23400, 成功: 23400
2025-07-16 23:08:25,069 - INFO - 処理済み: 23500, 成功: 23500
2025-07-16 23:08:25,288 - INFO - 処理済み: 23600, 成功: 23600
2025-07-16 23:08:25,490 - INFO - 処理済み: 23700, 成功: 23700
2025-07-16 23:08:25,704 - INFO - 処理済み: 23800, 成功: 23800
2025-07-16 23:08:25,904 - INFO - 処理済み: 23900, 成功: 23900
2025-07-16 23:08:26,147 - INFO - 処理済み: 24000, 成功: 24000
2025-07-16 23:08:26,353 - INFO - 処理済み: 24100, 成功: 24100
2025-07-16 23:08:26,565 - INFO - 処理済み: 24200, 成功: 24200
2025-07-16 23:08:26,784 - INFO - 処理済み: 24300, 成功: 24300
2025-07-16 23:08:26,990 - INFO - 処理済み: 24400, 成功: 24400
2025-07-16 23:08:27,200 - INFO - 処理済み: 24500, 成功: 24500
2025-07-16 23:08:27,414 - INFO - 処理済み: 24600, 成功: 24600
2025-07-16 23:08:27,638 - INFO - 処理済み: 24700, 成功: 24700
2025-07-16 23:08:27,996 - INFO - 処理済み: 24800, 成功: 24800
2025-07-16 23:08:28,216 - INFO - 処理済み: 24900, 成功: 24900
2025-07-16 23:08:28,430 - INFO - 処理済み: 25000, 成功: 25000
2025-07-16 23:08:28,641 - INFO - 処理済み: 25100, 成功: 25100
2025-07-16 23:08:29,008 - INFO - 処理済み: 25200, 成功: 25200
2025-07-16 23:08:29,225 - INFO - 処理済み: 25300, 成功: 25300
2025-07-16 23:08:29,429 - INFO - 処理済み: 25400, 成功: 25400
2025-07-16 23:08:29,632 - INFO - 処理済み: 25500, 成功: 25500
2025-07-16 23:08:29,845 - INFO - 処理済み: 25600, 成功: 25600
2025-07-16 23:08:30,067 - INFO - 処理済み: 25700, 成功: 25700
2025-07-16 23:08:30,289 - INFO - 処理済み: 25800, 成功: 25800
2025-07-16 23:08:30,651 - INFO - 処理済み: 25900, 成功: 25900
2025-07-16 23:08:30,872 - INFO - 処理済み: 26000, 成功: 26000
2025-07-16 23:08:31,086 - INFO - 処理済み: 26100, 成功: 26100
2025-07-16 23:08:31,318 - INFO - 処理済み: 26200, 成功: 26200
2025-07-16 23:08:31,518 - INFO - 処理済み: 26300, 成功: 26300
2025-07-16 23:08:31,742 - INFO - 処理済み: 26400, 成功: 26400
2025-07-16 23:08:31,971 - INFO - 処理済み: 26500, 成功: 26500
2025-07-16 23:08:32,341 - INFO - 処理済み: 26600, 成功: 26600
2025-07-16 23:08:32,572 - INFO - 処理済み: 26700, 成功: 26700
2025-07-16 23:08:32,801 - INFO - 処理済み: 26800, 成功: 26800
2025-07-16 23:08:33,034 - INFO - 処理済み: 26900, 成功: 26900
2025-07-16 23:08:33,244 - INFO - 処理済み: 27000, 成功: 27000
2025-07-16 23:08:33,475 - INFO - 処理済み: 27100, 成功: 27100
2025-07-16 23:08:33,702 - INFO - 処理済み: 27200, 成功: 27200
2025-07-16 23:08:34,086 - INFO - 処理済み: 27300, 成功: 27300
2025-07-16 23:08:34,317 - INFO - 処理済み: 27400, 成功: 27400
